event_id,sport,event,event_type
1,3x3 Basketball,Men,team
2,3x3 Basketball,Men Team,team
3,3x3 Basketball,Women,team
4,3x3 Basketball,Women Team,team
5,"3x3 Basketball, Basketball",Women,team
6,Aeronautics,Aeronautics Mixed Aeronautics,team
7,Alpinism,Alpinism Mixed Alpinism,team
8,Archery,Archery Men's Individual,individual
9,Archery,Archery Men's Team,team
10,Archery,Archery Women's Individual,individual
11,Archery,Archery Women's Team,team
12,Archery,Men's Individual,individual
13,Archery,Men's Team,team
14,Archery,Mixed Team,team
15,Archery,Women's Individual,individual
16,Archery,Women's Team,team
17,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",individual
18,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",individual
19,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",individual
20,Art Competitions,Art Competitions Mixed Literature,individual
21,Art Competitions,"Art Competitions Mixed Literature, Dramatic Works",individual
22,Art Competitions,"Art Competitions Mixed Literature, Epic Works",individual
23,Art Competitions,"Art Competitions Mixed Literature, Lyric Works",individual
24,Art Competitions,"Art Competitions Mixed Literature, Unknown Event",individual
25,Art Competitions,Art Competitions Mixed Music,individual
26,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",individual
27,Art Competitions,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",individual
28,Art Competitions,"Art Competitions Mixed Music, Instrumental And Chamber",individual
29,Art Competitions,"Art Competitions Mixed Music, Unknown Event",individual
30,Art Competitions,"Art Competitions Mixed Music, Vocals",individual
31,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",individual
32,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",individual
33,Art Competitions,"Art Competitions Mixed Painting, Graphic Arts",individual
34,Art Competitions,"Art Competitions Mixed Painting, Paintings",individual
35,Art Competitions,"Art Competitions Mixed Painting, Unknown Event",individual
36,Art Competitions,"Art Competitions Mixed Sculpturing, Medals",individual
37,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Plaques",individual
38,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Reliefs",individual
39,Art Competitions,"Art Competitions Mixed Sculpturing, Reliefs",individual
40,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",individual
41,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",individual
42,Art Competitions,Art Competitions Mixed Unknown Event,individual
43,Artistic Gymnastics,Men,individual
44,Artistic Gymnastics,Men's All-Around,individual
45,Artistic Gymnastics,Men's Floor Exercise,individual
46,Artistic Gymnastics,Men's Horizontal Bar,individual
47,Artistic Gymnastics,Men's Parallel Bars,individual
48,Artistic Gymnastics,Men's Pommel Horse,individual
49,Artistic Gymnastics,Men's Rings,individual
50,Artistic Gymnastics,Men's Team,team
51,Artistic Gymnastics,Men's Vault,individual
52,Artistic Gymnastics,Women,individual
53,Artistic Gymnastics,Women's All-Around,individual
54,Artistic Gymnastics,Women's Balance Beam,individual
55,Artistic Gymnastics,Women's Floor Exercise,individual
56,Artistic Gymnastics,Women's Team,team
57,Artistic Gymnastics,Women's Uneven Bars,individual
58,Artistic Gymnastics,Women's Vault,individual
