result_id,olympian_id,year,event_id,medal
79480,117338,1984,458,Gold
79481,117442,1984,184,Bronze
79482,117791,1984,184,Bronze
79483,117730,1984,820,Gold
79484,117394,1984,458,Gold
79485,118032,1984,184,Bronze
79486,117204,1984,458,Gold
79487,117510,1984,475,No medal
79488,117348,1984,659,No medal
79489,117769,1984,459,Gold
79490,117248,1984,548,No medal
79491,118065,1984,185,No medal
79492,117241,1984,185,No medal
79493,117148,1984,884,Gold
79494,117583,1984,887,Bronze
79495,117527,1984,184,Bronze
79496,117134,1984,820,Gold
79497,117595,1984,185,No medal
79498,117887,1984,458,Gold
79499,117998,1984,430,Bronze
79500,117823,1984,84,No medal
79501,117915,1984,551,Bronze
79502,117355,1984,880,No medal
79503,117423,1984,430,Bronze
79504,117498,1984,205,No medal
79505,117636,1984,196,No medal
79506,117744,1984,530,No medal
79507,117924,1984,898,Bronze
79508,118019,1984,206,Bronze
79509,118020,1984,295,No medal
79510,118020,1984,304,No medal
79511,117849,1984,820,Gold
79512,118037,1984,458,Gold
79513,117123,1984,530,No medal
79514,117415,1984,198,Silver
79515,117631,1984,458,Gold
79516,117672,1984,184,Bronze
79517,118011,1984,430,Bronze
79518,117648,1984,203,Bronze
79519,117975,1984,599,No medal
79520,117732,1984,430,Bronze
79521,117655,1984,459,Gold
79522,117522,1984,820,Gold
79523,117776,1984,185,No medal
79524,117972,1984,820,Gold
79525,117220,1984,184,Bronze
79526,117540,1984,184,Bronze
79527,117504,1984,704,No medal
79528,117504,1984,718,No medal
79529,117504,1984,713,No medal
79530,117621,1984,704,No medal
79531,117621,1984,718,No medal
79532,117621,1984,713,No medal
79533,117717,1984,895,No medal
79534,117234,1984,185,No medal
79535,117858,1984,185,No medal
79536,117476,1984,204,No medal
79537,117547,1984,304,No medal
79538,117554,1984,459,Gold
79539,117902,1984,820,Gold
79540,117589,1984,551,Bronze
79541,117190,1984,185,No medal
79542,118057,1984,459,Gold
79543,117337,1984,472,No medal
79544,117157,1984,267,Silver
79545,117157,1984,269,Gold
79546,118063,1984,430,Bronze
79547,117377,1984,184,Bronze
79548,117645,1984,184,Bronze
79549,117477,1984,459,Gold
79550,117995,1984,459,Gold
79551,117543,1984,430,Bronze
79552,117815,1984,401,No medal
79553,117815,1984,400,No medal
79554,117916,1984,458,Gold
79555,117300,1984,430,Bronze
79556,117736,1984,820,Gold
79557,117800,1984,897,Silver
79558,117310,1984,401,No medal
79559,117310,1984,400,No medal
79560,117841,1984,644,No medal
79561,117841,1984,645,No medal
79562,117740,1984,185,No medal
79563,117720,1984,820,Gold
